Date,User,Tweets,Device,Coordinates,Place
2023-02-25 23:29:59+00:00,https://twitter.com/innocentblack,Twitter for Android,"Delivered my Polling Unit.
Polling Unit Code: 37-06-10-110. Voted @NgLabour @PeterObi Labour Party and we all waited for it to be counted #presidentialelection2023 #NigeriaElections2023 #PeterObiForPresident2023 The Kardashians #PitObi #CityBoy #Kano #Abuja #Anambra #Kwankwaso https://t.co/pgcLqRF09z",,
2023-02-25 23:29:12+00:00,https://twitter.com/OlamideOyemaja,Twitter for Android,Say a word of prayer for Labour Party and Peter Obi before you go to bed. Just a single sentence is enough. The voices of millions of Nigerians calling for his help and God himself will show uo.,,
2023-02-25 23:27:44+00:00,https://twitter.com/chiukwujioke,Twitter for iPhone,"Dear @inecnigeria results were counted in all POLLING UNIT today. Request a copy of counted or recorded vote from each units. 

Any results coming from LAGOS or PORTHARCOURT that isn’t in Favor of LABOUR PARTY @PeterObi to ur SERVER should be discarded

Dnt anger the YOUTH ooo",,
2023-02-25 23:26:40+00:00,https://twitter.com/Dr_Clandestine,Twitter for Android,"PDP wasted Peter Obi's votes in the South. See them coming a distant third with no end in sight.

Should've collapsed structures for Labour Party. 🤡",,
2023-02-25 23:26:21+00:00,https://twitter.com/julietkego,Twitter for Android,"@onuhjohno That is why it is critical to elect @PeterObi, and many more like him (not voting blindly for labour party, rather vote across parties for people that are credible, capable, competent &amp; courageous), so we can build strong institutions that support tech solutions like BVAS et al.",,
2023-02-25 23:25:20+00:00,https://twitter.com/ehivic,Twitter for Android,"❤️❤️❤️❤️

Joy dey come
@FS_Yusuf_
@Naija_Activist @itzz_blitz1
@PeterObi
#presidentialelection2023 
#LabourParty #NigeriaDecides2023 https://t.co/Gu2RC1HPUy","Coordinates(longitude=3.2131467, latitude=6.4278856)","Place(id='00817d75276a95cf', fullName='Lagos, Nigeria', name='Lagos', type='city', country='Nigeria', countryCode='NG')"
2023-02-25 23:24:53+00:00,https://twitter.com/Pranktv_media,Twitter for Android,"As it stands no even a damn roasted APC is close😂

#Obiwon #NigeriaElections2023 Toyin Abraham Davido Casted Kano state #Falz NNPP Warri South Peter Obi of labour party Lagos Abuja #UploadtheResult Bauchi sokoto collation https://t.co/sLq6OYh85h",,
2023-02-25 23:23:58+00:00,https://twitter.com/liongoACD,Twitter for Android,"Peter Obi (@PeterObi), d'un parti mineur (Labour Party), va-t-il créer un séisme au Nigeria et l'emporter devant les poids lourds ? All eyes on Nigeria...

#NigeriaElections2023 #NigeriaDecides2023 #NigeriaDecides https://t.co/iJObUIB8Kr",,
2023-02-25 23:23:11+00:00,https://twitter.com/ngeleannabelle,Twitter for iPhone,After Peter obi e go still hard to me forgive pos people 😡#LabourParty #NigeriaElections2023 #presidentialelection2023 #UploadTheResults,,
2023-02-25 23:22:47+00:00,https://twitter.com/NIKE_BOSS_1,Twitter for Android,"Labour party will win in Jesus name i pray 
Amen
@mrmacaronii @markangelcomedy @PeterObi @rudeboypsquare @PeterPsquare 
@KenErics https://t.co/2lNC8MrlSq",,
2023-02-25 23:21:28+00:00,https://twitter.com/sir_cosmas,Twitter for Android,My job is done @PeterObi and Labour Party had a land slide win in my polling unit and other adjourning  3 Polling units.,,
2023-02-25 23:21:21+00:00,https://twitter.com/victor_abudabi,Twitter for iPhone,@ChineloEdith_ @SavvyRinu @LabourParty @PeterObi @inecnigeria @phspecials They refused uploading the results against our will. It’s a well organized strategy to alter the results cause the activity happened across all units. We await the results.,,
2023-02-25 23:20:26+00:00,https://twitter.com/badman_sekani,Twitter for iPhone,@gsbabatunde All this Labour Party sudo Account I dey feel say na @PeterObi the run am him self ?😂😂😂😂,,
2023-02-25 23:20:01+00:00,https://twitter.com/ruth_chriistin,Twitter for Android,"Obideint in Abuja is soooo not surprising. Which big man like suffer head life, I'm positive @PeterObi  will be President come May 29 2023 #NigeriaElections2023 #presidentialelection2023 #LabourParty",,
2023-02-25 23:18:55+00:00,https://twitter.com/ejesgist,FS POSTER - Twitter App,"Taraba PDP Governor loses polling unit to Peter Obi of the Labour Party

#presidentialelection2023 #UploadTheResults #NigerianElections2023 #NigeriaDecides2023 #ObiWon

#Newsnight #BreakingNews #LatestNews 
https://t.co/OM8iEyonH7",,
2023-02-25 23:18:06+00:00,https://twitter.com/COJ_22,Twitter for Android,"#AriseTV
We're not giving up until PETER OBI is our next president. LABOUR PARTY I STAND STRONG FOREVER 👪❤️💯 https://t.co/OCEAUziEQo",,
2023-02-25 23:16:52+00:00,https://twitter.com/ruth_chriistin,Twitter for Android,"Labour Party all the way. The two party domination in Nigeria must end. I want that tranquility in Nigeria back #NigeriaElections2023 
Go Obi Go Obi Go Peter Obi 👮🏽‍♀👩🏽‍💼",,
